path,first_heading,last_updated,status,redirect_note
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/implementation_achievements.md,# ROS2 Implementation Achievements - Current System Status,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/logging_monitoring_comparison.md,# Logging and Monitoring Comparison: ROS-1 vs ROS-2,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/motor_control_comparison.md,# Motor Control Comparison - ODrive Interface (ROS1 vs ROS2),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/README.md,# ROS1 vs ROS2 Migration Analysis,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/production_readiness.md,# Production Readiness Assessment: Pragati Cotton Picking Robot ROS-2,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,# Safety Systems and Error Handling Validation Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/MAINTENANCE.md,# Documentation Maintenance Guide: Preventing Future Scattering,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros2_improvements_validated.md,# ROS-2 Improvements Validation Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,# Actionable Recommendations and Prioritized Remediation Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,# Production Deployment Preflight Checklist,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/FULL_ROS2_SYSTEM_TEST_RESULTS_2025-10-09.md,# Full ROS2 Motor Control System Test Results,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/MOTOR_TEST_RESULTS_2025-10-10.md,# Motor Testing Results - October 10  2025,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/FINAL_TEST_RESULTS.md,# MG6010 Motor Communication - Final Test Results,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/CAN_TEST_RESULTS_2025-10-09.md,# MG6010 CAN Communication - Test Results,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/HARDWARE_TEST_RESULTS.md,# Hardware Test Results - OAK-D Lite Cotton Detection,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results/MOTOR_COMM_DIAGNOSTIC_2025-10-09.md,# MG6010 Motor Communication Diagnostic Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/INDEX.md,# Documentation Consolidation Archive - 2025-10-15,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/todos_obsolete.md,# Obsolete TODO Items,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/todos_completed.md,# Completed TODO Items,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/TODO_MASTER.md,# TODO Master List - Pragati ROS2 Project,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/STATUS_REALITY_MATRIX.md,# Pragati ROS2 Status Reality Matrix,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/PRODUCTION_SYSTEM_EXPLAINED.md,# Pragati Cotton Picking Robot - Production System Documentation,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/REORGANIZATION_PROGRESS.md,# Documentation Reorganization Progress,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/GAP_ANALYSIS_OCT2025.md,# Implementation Plan Gap Analysis,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/REMAINING_TASKS.md,# Cotton Detection ROS2 - Remaining Tasks,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md,# Documentation Reorganization Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/COMPLETION_CHECKLIST.md,# Cotton Detection ROS2 Migration - Final Completion Checklist ✅,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/IMPLEMENTATION_PLAN_OCT2025.md,# Pragati ROS2 Refactoring & Enhancement Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/enhancements/PHASE_2_ROADMAP.md,# Phase 2 Roadmap: Production-Ready System,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md,# Web Dashboard Enhancement Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/production-system/01-SYSTEM_OVERVIEW.md,# System Overview,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/QUICK_TEST_GUIDE.md,# MG6010 Motor Quick Test Guide,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/CRITICAL_FIXES_ACTION_PLAN.md,# CRITICAL FIXES - IMMEDIATE ACTION PLAN,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/CRITICAL_FIXES_COMPLETED.md,# Critical Fixes Implementation Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/AUDIT_COMPLETION_SUMMARY.md,# Documentation Audit - Completion Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/ODRIVE_LEGACY_AUDIT.md,# ODrive Legacy References Audit,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/COMPREHENSIVE_AUDIT_REPORT.md,# PRAGATI ROS2 - COMPREHENSIVE DOCUMENTATION AUDIT REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/CAN_BITRATE_AUDIT_REPORT.md,# CAN Bitrate Configuration Audit Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/AUDIT_SUMMARY.md,# Documentation Audit - Executive Summary,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/FINAL_REMEDIATION_PLAN.md,# Final Documentation Remediation Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_RECONCILIATION.md,# Audit Reconciliation - Findings vs Existing Reality Check,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/TASKS_STATUS_COMPLETE.md,# Complete Status of All 18 Audit Tasks,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_COMPLETION_SUMMARY.md,# Comprehensive Documentation Audit - COMPLETION SUMMARY,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/TASK_EXECUTION_TRACKER.md,# TASK EXECUTION TRACKER,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_PROGRESS_REVIEW.md,# Documentation Audit Progress Review,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/README.md,# Documentation Audit - October 7  2025,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/PROJECT_STATUS_REALITY_CHECK_OUTLINE.md,# PROJECT_STATUS_REALITY_CHECK.md - OUTLINE,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_BASELINE_CHECKPOINT.md,# Audit Baseline Checkpoint,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/PROJECT_STATUS_REALITY_CHECK_CORRECTED.md,# PROJECT STATUS REALITY CHECK (CORRECTED),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation/FIX_VERIFICATION_SUMMARY.md,# Fix Verification Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation/colleague_workflow_validation_report.md,# COLLEAGUE WORKFLOW VALIDATION REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation/VALIDATION_REPORT.md,# PRAGATI ROS2 LAUNCH CLEANUP - VALIDATION REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation/PARAMETER_LOADING_TEST_REPORT.md,,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation/UPLOAD_READINESS_VALIDATION_REPORT.md,# 🎯 UPLOAD READINESS VALIDATION REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-sessions/SESSION_SUMMARY_2025-10-10.md,# Pragati ROS2 - Motor Testing Session Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-sessions/SESSION_SUMMARY_OCT9.md,# Session Summary - October 9  2025,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/README.md,# October 2025 Documentation Archive,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_obsolete.md,# Obsolete TODOs Archive,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_completed.md,# Completed TODOs Archive,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/ALL_NO_HARDWARE_TASKS_COMPLETE.md,# All No-Hardware Tasks - Completion Summary,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/FIX_IMPLEMENTATION_SUMMARY.md,# Fix Implementation Summary - Cotton Detection ROS2,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/DATE_INCONSISTENCIES_RESOLVED.md,# Date Inconsistencies - Resolution Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/DOCUMENTATION_UPDATE_SUMMARY.md,# Documentation Update Summary - Launch Parameters,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/MODULAR_DOCUMENTATION_SUMMARY.md,# Modular Documentation Restructuring Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/DEPLOYMENT_DISCREPANCIES_RESOLVED.md,# Deployment Discrepancies - Analysis & Resolution,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/README.md,# Archive: Completion Reports (2025-10),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/PARAMETER_FIXES_COMPLETE_REPORT.md,# COMPREHENSIVE PARAMETER FIXES - COMPLETE REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/TASK_COUNT_CORRECTION.md,# Task Count Correction,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/SYSTEM_VALIDATION_COMPLETE.md,# System Validation Snapshot ✅,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/NO_HARDWARE_TASKS_COMPLETE.md,# No-Hardware Tasks Completion Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/TRUTH_PRECEDENCE_AND_SCORING.md,# Truth Precedence and Scoring Rubric,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/README.md,# Archive: Stakeholder Documents (2025-10),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/VALIDATION_QUESTIONS_ANSWERED.md,# Validation Questions Answered,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/STAKEHOLDER_NOTIFICATION_2025-10-15.md,# Stakeholder Notification - Documentation Consolidation Complete,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/restoration_summary_8ac7d2e.md,# Restoration Summary – Snapshot 8ac7d2e,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/SERVICE_AVAILABILITY_CHECKS_COMPLETE.md,# Service Availability Checks - Implementation Complete,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/TODO_CLEANUP_REPORT.md,# TODO Cleanup Report,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/TODO_CLEANUP_EXECUTION_SUMMARY.md,# TODO Cleanup - Execution Summary,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/PHASE_2_SOFTWARE_COMPLETE.md,# Phase 2 Software-Only Work - COMPLETE ✅,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/README.md,# Archive: Generated Reports (2025-10),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/code_verification_evidence_2025-10-14.md,# Code Verification Evidence Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/COMPLETE_EXECUTION_PLAN_2025-10-14.md,# Pragati ROS2 - Complete Execution Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/EXECUTION_PROGRESS_TRACKER.md,# Pragati ROS2 - Execution Progress Tracker,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/master_status.md,# OAK-D Lite ROS2 Migration - Master Consolidated Status,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/OFFLINE_TESTING_QUICKSTART.md,# Offline Testing - Quick Start Guide,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/PHASE_2_1_PROGRESS_SUMMARY.md,# Phase 2.1 Progress Summary - Software Completeness Tasks,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/EXECUTIVE_REVIEW_SUMMARY_2025-10-14.md,# Pragati ROS2 - Executive Review Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_INDEX.md,# MG6010-i6 Motor Integration Documentation,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/README_GENERIC_MOTORS.md,# Generic Motor Controller System - Production Ready,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/DOCUMENTATION_GAPS_ANALYSIS.md,# Motor Control ROS2 - Documentation Gaps and Inconsistencies,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/DOCUMENTATION_CONSOLIDATION_PLAN.md,# MG6010-First Documentation Consolidation Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_README_UPDATES.md,# MG6010 README Update Instructions,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_README.md,# MG6010-i6 Motor Integration Guide,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_MG6010_INTEGRATION_COMPLETE.md,# ✅ MG6010 Integration - COMPLETE!,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_MG6010_STATUS.md,# MG6010-i6 Integration Status,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/CODE_DOC_MISMATCH_REPORT.md,# 🚨 CRITICAL: CODE vs DOCUMENTATION MISMATCH REPORT,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/INDEX.md,# Motor Control Documentation Archive - October 2025,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_PROTOCOL_COMPARISON.md,# MG6010-i6 CAN Protocol Implementation Comparison,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MOTOR_COMM_FIX_INSTRUCTIONS.md,# MG6010 Motor Communication - Fix Instructions,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MOTOR_COMM_ANALYSIS.md,# Why Motor Communication Failed Earlier Then Worked,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/DOCUMENTATION_REVIEW_COMPLETE.md,# Motor Control ROS2 - Documentation Review Phase Complete ✅,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/README.md,# Motor Control ROS2 (MG6010 Primary) ✅,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MOTOR_CONTROL_COMPREHENSIVE_REVIEW.md,# 🚨 MOTOR CONTROL NODE - COMPREHENSIVE CODE REVIEW & ROOT CAUSE ANALYSIS,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/TRACEABILITY_TABLE.md,# Motor Control ROS2 - Code Interface Traceability Table,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MG6010_MG6010_INTEGRATION_PLAN.md,# MG6010 Integration Plan - Complete Implementation,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/SERVICES_NODES_GUIDE.md,# ODrive ROS2 Services and Nodes Documentation,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/MOTOR_CONTROL_STATUS.md,# Motor Control ROS2 - System Status,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md,# Documentation Consolidation Plan - October 15  2025,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/CONSOLIDATION_COMPLETE.md,# Documentation Consolidation - Completion Summary,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/CONSOLIDATION_LOG_2025-10-Phase1.md,# Documentation Consolidation Log,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/DOC_INVENTORY_FOR_AUDIT.md,# Documentation Inventory for Audit,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/CONSOLIDATION_MAP.md,# Documentation Consolidation Map,2025-10-15,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/CONSOLIDATION_PHASE1_COMPLETE.md,# Documentation Consolidation - Phase 1 Complete ✅,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/README.md,# Archive: Consolidation Meta (2025-10),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/PHASE1_VERIFICATION_SUMMARY_2025-10-16.md,# Phase 1 Verification Summary,,,
